schedtime,carrier,dest,distance,flightnumber,origin,weather,dayweek,daymonth,tailnu,delay
17.3,CO,EWR,199,814,DCA,0,4,1,7,ontime
8.4,DH,EWR,213,7299,IAD,0,4,1,R,ontime
17.1,DH,EWR,213,7302,IAD,0,4,1,R,ontime
12.45,DH,EWR,213,7303,IAD,0,4,1,R,ontime
21.2,DH,EWR,213,7304,IAD,0,4,1,R,ontime
17.0,RU,EWR,213,2497,IAD,0,4,1,0,ontime
19.0,RU,EWR,213,2385,IAD,0,4,1,9,ontime
15.25,RU,EWR,199,2261,DCA,0,4,1,4,ontime
19.0,RU,EWR,199,2336,DCA,0,4,1,7,ontime
14.0,RU,EWR,199,2216,DCA,0,4,1,3,ontime
15.15,RU,EWR,213,2156,IAD,0,4,1,9,ontime
13.0,RU,EWR,213,2664,IAD,0,4,1,9,ontime
16.3,RU,EWR,199,2181,DCA,0,4,1,6,ontime
14.55,OH,JFK,184,5935,BWI,0,5,2,A,ontime
16.4,DH,JFK,213,6155,DCA,0,5,2,J,ontime
12.45,DH,LGA,229,7208,IAD,0,5,2,R,ontime
14.55,DH,LGA,229,7211,IAD,0,5,2,R,delayed
17.15,DH,LGA,229,7215,IAD,0,5,2,R,ontime
6.4,DH,LGA,229,7790,IAD,0,5,2,R,ontime
10.39,DH,LGA,229,7792,IAD,0,5,2,R,delayed
8.4,DH,JFK,228,7800,IAD,0,5,2,R,ontime
12.4,DH,JFK,228,7806,IAD,0,5,2,E,ontime
14.55,DH,JFK,228,7808,IAD,0,5,2,E,ontime
16.45,DH,JFK,228,7810,IAD,0,5,2,E,ontime
17.15,DH,JFK,228,7812,IAD,0,5,2,E,ontime
21.2,DH,JFK,228,7814,IAD,0,5,2,R,delayed
16.1,DH,JFK,228,7816,IAD,0,5,2,E,ontime
21.2,DH,LGA,229,7924,IAD,0,5,2,R,ontime
14.55,DL,JFK,213,746,DCA,0,5,2,L,ontime
9.3,DL,LGA,214,1746,DCA,0,5,2,L,ontime
12.3,DL,LGA,214,1752,DCA,0,5,2,L,ontime
14.3,DL,LGA,214,1756,DCA,0,5,2,L,ontime
17.3,DL,LGA,214,1762,DCA,0,5,2,L,ontime
20.3,DL,LGA,214,1768,DCA,0,5,2,L,ontime
15.3,MQ,JFK,213,4752,DCA,0,5,2,Q,ontime
6.0,MQ,JFK,213,4760,DCA,0,5,2,Q,ontime
18.3,MQ,JFK,213,4784,DCA,0,5,2,Q,ontime
9.0,MQ,LGA,214,4956,DCA,0,5,2,Q,ontime
11.0,MQ,LGA,214,4960,DCA,0,5,2,Q,ontime
13.0,MQ,LGA,214,4964,DCA,0,5,2,Q,ontime
14.0,MQ,LGA,214,4966,DCA,0,5,2,Q,ontime
15.0,MQ,LGA,214,4968,DCA,0,5,2,Q,ontime
8.5,UA,LGA,229,846,IAD,0,5,2,A,ontime
7.0,US,LGA,214,2160,DCA,0,5,2,W,ontime
9.0,US,LGA,214,2164,DCA,0,5,2,W,ontime
11.0,US,LGA,214,2168,DCA,0,5,2,W,ontime
13.0,US,LGA,214,2172,DCA,0,5,2,W,ontime
15.0,US,LGA,214,2176,DCA,0,5,2,W,ontime
17.0,US,LGA,214,2180,DCA,0,5,2,W,ontime
19.0,US,LGA,214,2184,DCA,0,5,2,W,ontime
21.0,US,LGA,214,2188,DCA,0,5,2,W,ontime
17.2,RU,EWR,169,2675,BWI,0,5,2,6,ontime
10.3,RU,EWR,169,2303,BWI,0,5,2,0,ontime
7.0,RU,EWR,169,2703,BWI,0,5,2,1,ontime
14.55,RU,EWR,169,2403,BWI,0,5,2,6,ontime
17.3,CO,EWR,199,814,DCA,0,5,2,2,ontime
13.0,CO,EWR,199,808,DCA,0,5,2,4,ontime
7.59,CO,EWR,199,806,DCA,0,5,2,1,ontime
8.4,DH,EWR,213,7299,IAD,0,5,2,R,ontime
12.45,DH,EWR,213,7303,IAD,0,5,2,R,delayed
14.3,DH,EWR,213,7307,IAD,0,5,2,E,delayed
6.3,DH,EWR,213,7371,IAD,0,5,2,E,ontime
16.3,RU,EWR,199,2181,DCA,0,5,2,7,ontime
7.0,RU,EWR,213,2855,IAD,0,5,2,0,ontime
9.0,RU,EWR,199,2582,DCA,0,5,2,7,ontime
7.0,RU,EWR,199,2761,DCA,0,5,2,7,ontime
17.0,RU,EWR,213,2497,IAD,0,5,2,8,ontime
19.0,RU,EWR,213,2385,IAD,0,5,2,7,ontime
13.0,RU,EWR,213,2692,IAD,0,5,2,5,ontime
9.0,RU,EWR,213,3276,IAD,0,5,2,1,ontime
19.0,RU,EWR,199,2336,DCA,0,5,2,5,ontime
21.0,RU,EWR,199,2879,DCA,0,5,2,8,ontime
14.0,RU,EWR,199,2216,DCA,0,5,2,8,ontime
15.15,RU,EWR,213,2156,IAD,0,5,2,7,delayed
15.25,RU,EWR,199,2261,DCA,0,5,2,4,ontime
12.45,DH,LGA,229,7208,IAD,0,6,3,R,ontime
17.15,DH,LGA,229,7215,IAD,0,6,3,R,ontime
6.4,DH,LGA,229,7790,IAD,0,6,3,R,ontime
10.39,DH,LGA,229,7792,IAD,0,6,3,R,ontime
8.4,DH,JFK,228,7800,IAD,0,6,3,R,ontime
12.4,DH,JFK,228,7806,IAD,0,6,3,E,ontime
14.55,DH,JFK,228,7808,IAD,0,6,3,E,ontime
16.45,DH,JFK,228,7810,IAD,0,6,3,E,ontime
17.15,DH,JFK,228,7812,IAD,0,6,3,E,ontime
21.2,DH,JFK,228,7814,IAD,0,6,3,R,delayed
16.1,DH,JFK,228,7816,IAD,0,6,3,E,ontime
21.2,DH,LGA,229,7924,IAD,0,6,3,R,ontime
14.55,DL,JFK,213,746,DCA,0,6,3,L,delayed
8.3,DL,LGA,214,1744,DCA,0,6,3,L,ontime
10.3,DL,LGA,214,1748,DCA,0,6,3,L,ontime
12.3,DL,LGA,214,1752,DCA,0,6,3,L,ontime
14.3,DL,LGA,214,1756,DCA,0,6,3,L,ontime
16.3,DL,LGA,214,1760,DCA,0,6,3,L,ontime
18.3,DL,LGA,214,1764,DCA,0,6,3,L,ontime
20.3,DL,LGA,214,1768,DCA,0,6,3,L,ontime
15.3,MQ,JFK,213,4752,DCA,0,6,3,Q,delayed
6.0,MQ,JFK,213,4760,DCA,0,6,3,Q,ontime
18.3,MQ,JFK,213,4784,DCA,0,6,3,Q,ontime
9.0,MQ,LGA,214,4956,DCA,0,6,3,Q,ontime
13.0,MQ,LGA,214,4964,DCA,0,6,3,Q,ontime
8.5,UA,LGA,229,846,IAD,0,6,3,A,ontime
7.0,US,LGA,214,2160,DCA,0,6,3,W,ontime
9.0,US,LGA,214,2164,DCA,0,6,3,W,ontime
11.0,US,LGA,214,2168,DCA,0,6,3,W,ontime
13.0,US,LGA,214,2172,DCA,0,6,3,W,ontime
15.0,US,LGA,214,2176,DCA,0,6,3,W,ontime
17.0,US,LGA,214,2180,DCA,0,6,3,W,ontime
19.0,US,LGA,214,2184,DCA,0,6,3,W,ontime
17.2,RU,EWR,169,2675,BWI,0,6,3,4,ontime
7.0,RU,EWR,169,2703,BWI,0,6,3,6,ontime
10.3,RU,EWR,169,2303,BWI,0,6,3,7,ontime
14.55,RU,EWR,169,2267,BWI,0,6,3,4,ontime
13.0,CO,EWR,199,808,DCA,0,6,3,2,ontime
8.4,DH,EWR,213,7299,IAD,0,6,3,R,delayed
17.1,DH,EWR,213,7302,IAD,0,6,3,R,ontime
12.45,DH,EWR,213,7303,IAD,0,6,3,R,delayed
21.2,DH,EWR,213,7304,IAD,0,6,3,R,ontime
6.3,DH,EWR,213,7371,IAD,0,6,3,E,ontime
17.25,RU,EWR,213,2497,IAD,0,6,3,6,ontime
14.0,RU,EWR,199,2216,DCA,0,6,3,3,ontime
7.0,RU,EWR,213,2855,IAD,0,6,3,5,ontime
9.3,RU,EWR,199,2582,DCA,0,6,3,7,ontime
17.3,RU,EWR,199,2097,DCA,0,6,3,8,ontime
16.0,RU,EWR,199,2181,DCA,0,6,3,5,ontime
15.15,RU,EWR,213,2156,IAD,0,6,3,6,ontime
7.0,RU,EWR,199,2761,DCA,0,6,3,7,ontime
14.55,OH,JFK,184,5935,BWI,0,7,4,A,delayed
16.4,DH,JFK,213,6155,DCA,0,7,4,J,ontime
12.45,DH,LGA,229,7208,IAD,0,7,4,R,ontime
14.55,DH,LGA,229,7211,IAD,0,7,4,R,delayed
17.15,DH,LGA,229,7215,IAD,0,7,4,R,delayed
6.4,DH,LGA,229,7790,IAD,0,7,4,R,ontime
10.39,DH,LGA,229,7792,IAD,0,7,4,R,ontime
8.4,DH,JFK,228,7800,IAD,0,7,4,R,ontime
12.4,DH,JFK,228,7806,IAD,0,7,4,E,ontime
14.55,DH,JFK,228,7808,IAD,0,7,4,E,ontime
16.45,DH,JFK,228,7810,IAD,0,7,4,E,ontime
17.15,DH,JFK,228,7812,IAD,0,7,4,E,ontime
21.2,DH,JFK,228,7814,IAD,0,7,4,R,ontime
16.1,DH,JFK,228,7816,IAD,0,7,4,E,ontime
21.2,DH,LGA,229,7924,IAD,0,7,4,R,ontime
14.55,DL,JFK,213,746,DCA,0,7,4,L,ontime
8.3,DL,LGA,214,1744,DCA,0,7,4,L,ontime
10.3,DL,LGA,214,1748,DCA,0,7,4,L,ontime
12.3,DL,LGA,214,1752,DCA,0,7,4,L,ontime
14.3,DL,LGA,214,1756,DCA,0,7,4,L,ontime
16.3,DL,LGA,214,1760,DCA,0,7,4,L,ontime
18.3,DL,LGA,214,1764,DCA,0,7,4,L,ontime
20.3,DL,LGA,214,1768,DCA,0,7,4,L,ontime
15.3,MQ,JFK,213,4752,DCA,0,7,4,Q,delayed
6.0,MQ,JFK,213,4760,DCA,0,7,4,Q,ontime
7.3,MQ,JFK,213,4771,DCA,0,7,4,Q,ontime
18.3,MQ,JFK,213,4784,DCA,0,7,4,Q,delayed
13.0,MQ,LGA,214,4964,DCA,0,7,4,Q,ontime
15.0,MQ,LGA,214,4968,DCA,0,7,4,Q,delayed
17.0,MQ,LGA,214,4972,DCA,0,7,4,Q,ontime
19.0,MQ,LGA,214,4976,DCA,0,7,4,Q,delayed
8.5,UA,LGA,229,846,IAD,0,7,4,A,ontime
9.0,US,LGA,214,2164,DCA,0,7,4,W,ontime
10.0,US,LGA,214,2166,DCA,0,7,4,W,ontime
11.0,US,LGA,214,2168,DCA,0,7,4,W,ontime
12.0,US,LGA,214,2170,DCA,0,7,4,W,ontime
13.0,US,LGA,214,2172,DCA,0,7,4,W,ontime
14.0,US,LGA,214,2174,DCA,0,7,4,W,ontime
15.0,US,LGA,214,2176,DCA,0,7,4,W,ontime
16.0,US,LGA,214,2178,DCA,0,7,4,W,ontime
17.0,US,LGA,214,2180,DCA,0,7,4,W,ontime
18.0,US,LGA,214,2182,DCA,0,7,4,W,ontime
19.0,US,LGA,214,2184,DCA,0,7,4,W,ontime
20.0,US,LGA,214,2186,DCA,0,7,4,W,ontime
21.0,US,LGA,214,2188,DCA,0,7,4,W,ontime
14.55,RU,EWR,169,2403,BWI,0,7,4,3,delayed
13.15,RU,EWR,169,2703,BWI,0,7,4,9,delayed
16.05,RU,EWR,169,2603,BWI,0,7,4,3,delayed
10.3,RU,EWR,169,2303,BWI,0,7,4,6,delayed
13.0,CO,EWR,199,808,DCA,0,7,4,0,ontime
16.3,CO,EWR,199,810,DCA,0,7,4,9,delayed
8.4,DH,EWR,213,7299,IAD,0,7,4,R,ontime
17.1,DH,EWR,213,7302,IAD,0,7,4,R,delayed
12.45,DH,EWR,213,7303,IAD,0,7,4,R,delayed
21.2,DH,EWR,213,7304,IAD,0,7,4,R,delayed
14.3,DH,EWR,213,7307,IAD,0,7,4,E,delayed
17.3,RU,EWR,199,2097,DCA,0,7,4,6,delayed
9.3,RU,EWR,199,2582,DCA,0,7,4,2,ontime
9.0,RU,EWR,213,3276,IAD,0,7,4,5,ontime
19.0,RU,EWR,213,2385,IAD,0,7,4,8,delayed
14.0,RU,EWR,199,2216,DCA,0,7,4,7,delayed
19.0,RU,EWR,199,2336,DCA,0,7,4,9,delayed
15.15,RU,EWR,213,2156,IAD,0,7,4,1,delayed
14.55,OH,JFK,184,5935,BWI,0,1,5,A,delayed
16.4,DH,JFK,213,6155,DCA,0,1,5,J,delayed
12.45,DH,LGA,229,7208,IAD,0,1,5,R,delayed
14.55,DH,LGA,229,7211,IAD,0,1,5,R,delayed
17.15,DH,LGA,229,7215,IAD,0,1,5,R,delayed
6.4,DH,LGA,229,7790,IAD,0,1,5,R,delayed
10.39,DH,LGA,229,7792,IAD,0,1,5,R,ontime
8.4,DH,JFK,228,7800,IAD,0,1,5,R,delayed
12.4,DH,JFK,228,7806,IAD,0,1,5,E,delayed
16.45,DH,JFK,228,7810,IAD,0,1,5,E,ontime
17.15,DH,JFK,228,7812,IAD,0,1,5,E,ontime
21.2,DH,JFK,228,7814,IAD,0,1,5,R,delayed
16.1,DH,JFK,228,7816,IAD,0,1,5,E,delayed
21.2,DH,LGA,229,7924,IAD,0,1,5,R,ontime
14.55,DL,JFK,213,746,DCA,0,1,5,L,ontime
6.3,DL,LGA,214,1740,DCA,0,1,5,L,ontime
7.3,DL,LGA,214,1742,DCA,0,1,5,L,ontime
8.3,DL,LGA,214,1744,DCA,0,1,5,L,ontime
9.3,DL,LGA,214,1746,DCA,0,1,5,L,ontime
10.3,DL,LGA,214,1748,DCA,0,1,5,Z,ontime
11.3,DL,LGA,214,1750,DCA,0,1,5,L,ontime
12.3,DL,LGA,214,1752,DCA,0,1,5,L,ontime
13.3,DL,LGA,214,1754,DCA,0,1,5,L,ontime
14.3,DL,LGA,214,1756,DCA,0,1,5,Z,ontime
16.3,DL,LGA,214,1760,DCA,0,1,5,L,ontime
17.3,DL,LGA,214,1762,DCA,0,1,5,L,ontime
18.3,DL,LGA,214,1764,DCA,0,1,5,Z,ontime
19.3,DL,LGA,214,1766,DCA,0,1,5,L,delayed
20.3,DL,LGA,214,1768,DCA,0,1,5,L,ontime
15.3,MQ,JFK,213,4752,DCA,0,1,5,Q,ontime
6.0,MQ,JFK,213,4760,DCA,0,1,5,Q,ontime
7.0,MQ,LGA,214,4952,DCA,0,1,5,Q,ontime
8.0,MQ,LGA,214,4954,DCA,0,1,5,Q,ontime
9.0,MQ,LGA,214,4956,DCA,0,1,5,Q,ontime
11.0,MQ,LGA,214,4960,DCA,0,1,5,Q,ontime
13.0,MQ,LGA,214,4964,DCA,0,1,5,Q,ontime
16.0,MQ,LGA,214,4970,DCA,0,1,5,Q,delayed
17.0,MQ,LGA,214,4972,DCA,0,1,5,Q,ontime
19.0,MQ,LGA,214,4976,DCA,0,1,5,Q,delayed
8.5,UA,LGA,229,846,IAD,0,1,5,A,ontime
6.3,US,LGA,214,1479,DCA,0,1,5,W,delayed
7.0,US,LGA,214,2160,DCA,0,1,5,W,ontime
8.0,US,LGA,214,2162,DCA,0,1,5,W,ontime
9.0,US,LGA,214,2164,DCA,0,1,5,W,ontime
10.0,US,LGA,214,2166,DCA,0,1,5,W,ontime
11.0,US,LGA,214,2168,DCA,0,1,5,W,ontime
12.0,US,LGA,214,2170,DCA,0,1,5,W,ontime
13.0,US,LGA,214,2172,DCA,0,1,5,W,ontime
14.0,US,LGA,214,2174,DCA,0,1,5,W,ontime
15.0,US,LGA,214,2176,DCA,0,1,5,W,ontime
16.0,US,LGA,214,2178,DCA,0,1,5,W,ontime
17.0,US,LGA,214,2180,DCA,0,1,5,W,ontime
18.0,US,LGA,214,2182,DCA,0,1,5,W,ontime
19.0,US,LGA,214,2184,DCA,0,1,5,W,ontime
20.0,US,LGA,214,2186,DCA,0,1,5,W,ontime
21.0,US,LGA,214,2188,DCA,0,1,5,W,ontime
7.0,RU,EWR,169,2703,BWI,0,1,5,3,delayed
14.55,RU,EWR,169,2403,BWI,0,1,5,6,delayed
10.3,RU,EWR,169,2303,BWI,0,1,5,1,delayed
13.0,CO,EWR,199,808,DCA,0,1,5,8,delayed
7.59,CO,EWR,199,806,DCA,0,1,5,4,ontime
17.3,CO,EWR,199,814,DCA,0,1,5,1,delayed
8.4,DH,EWR,213,7299,IAD,0,1,5,R,ontime
17.1,DH,EWR,213,7302,IAD,0,1,5,R,delayed
12.45,DH,EWR,213,7303,IAD,0,1,5,R,delayed
21.2,DH,EWR,213,7304,IAD,0,1,5,R,delayed
14.3,DH,EWR,213,7307,IAD,0,1,5,E,delayed
6.3,DH,EWR,213,7371,IAD,0,1,5,E,ontime
7.0,RU,EWR,199,2761,DCA,0,1,5,6,ontime
9.0,RU,EWR,199,2582,DCA,0,1,5,2,delayed
13.0,RU,EWR,213,2692,IAD,0,1,5,1,delayed
21.0,RU,EWR,199,2879,DCA,0,1,5,6,ontime
7.0,RU,EWR,213,2855,IAD,0,1,5,0,ontime
14.0,RU,EWR,199,2216,DCA,0,1,5,9,delayed
19.0,RU,EWR,199,2336,DCA,0,1,5,0,delayed
15.15,RU,EWR,213,2156,IAD,0,1,5,2,delayed
9.0,RU,EWR,213,3276,IAD,0,1,5,1,ontime
15.25,RU,EWR,199,2261,DCA,0,1,5,8,delayed
14.55,OH,JFK,184,5935,BWI,0,2,6,A,ontime
12.45,DH,LGA,229,7208,IAD,0,2,6,E,ontime
14.55,DH,LGA,229,7211,IAD,0,2,6,R,ontime
17.15,DH,LGA,229,7215,IAD,0,2,6,R,ontime
6.4,DH,LGA,229,7790,IAD,0,2,6,R,ontime
10.39,DH,LGA,229,7792,IAD,0,2,6,R,ontime
8.4,DH,JFK,228,7800,IAD,0,2,6,R,ontime
12.4,DH,JFK,228,7806,IAD,0,2,6,E,ontime
14.55,DH,JFK,228,7808,IAD,0,2,6,E,ontime
16.45,DH,JFK,228,7810,IAD,0,2,6,E,ontime
17.15,DH,JFK,228,7812,IAD,0,2,6,E,delayed
21.2,DH,JFK,228,7814,IAD,0,2,6,R,delayed
16.1,DH,JFK,228,7816,IAD,0,2,6,E,ontime
21.2,DH,LGA,229,7924,IAD,0,2,6,R,ontime
14.55,DL,JFK,213,746,DCA,0,2,6,L,ontime
6.3,DL,LGA,214,1740,DCA,0,2,6,Z,ontime
7.3,DL,LGA,214,1742,DCA,0,2,6,L,ontime
8.3,DL,LGA,214,1744,DCA,0,2,6,L,ontime
9.3,DL,LGA,214,1746,DCA,0,2,6,L,ontime
10.3,DL,LGA,214,1748,DCA,0,2,6,Z,ontime
11.3,DL,LGA,214,1750,DCA,0,2,6,L,ontime
12.3,DL,LGA,214,1752,DCA,0,2,6,L,ontime
13.3,DL,LGA,214,1754,DCA,0,2,6,L,ontime
14.3,DL,LGA,214,1756,DCA,0,2,6,Z,ontime
15.3,DL,LGA,214,1758,DCA,0,2,6,L,ontime
16.3,DL,LGA,214,1760,DCA,0,2,6,L,ontime
17.3,DL,LGA,214,1762,DCA,0,2,6,L,ontime
18.3,DL,LGA,214,1764,DCA,0,2,6,Z,ontime
19.3,DL,LGA,214,1766,DCA,0,2,6,L,ontime
20.3,DL,LGA,214,1768,DCA,0,2,6,L,ontime
15.3,MQ,JFK,213,4752,DCA,0,2,6,Q,ontime
6.0,MQ,JFK,213,4760,DCA,0,2,6,Q,ontime
18.3,MQ,JFK,213,4784,DCA,0,2,6,Q,ontime
7.0,MQ,LGA,214,4952,DCA,0,2,6,Q,ontime
8.0,MQ,LGA,214,4954,DCA,0,2,6,Q,ontime
9.0,MQ,LGA,214,4956,DCA,0,2,6,Q,ontime
11.0,MQ,LGA,214,4960,DCA,0,2,6,Q,ontime
13.0,MQ,LGA,214,4964,DCA,0,2,6,Q,ontime
14.0,MQ,LGA,214,4966,DCA,0,2,6,Q,ontime
15.0,MQ,LGA,214,4968,DCA,0,2,6,Q,delayed
16.0,MQ,LGA,214,4970,DCA,0,2,6,Q,ontime
17.0,MQ,LGA,214,4972,DCA,0,2,6,Q,ontime
19.0,MQ,LGA,214,4976,DCA,0,2,6,Q,ontime
8.5,UA,LGA,229,846,IAD,0,2,6,A,ontime
6.3,US,LGA,214,1479,DCA,0,2,6,W,ontime
7.0,US,LGA,214,2160,DCA,0,2,6,W,ontime
8.0,US,LGA,214,2162,DCA,0,2,6,W,ontime
9.0,US,LGA,214,2164,DCA,0,2,6,W,ontime
10.0,US,LGA,214,2166,DCA,0,2,6,W,ontime
11.0,US,LGA,214,2168,DCA,0,2,6,W,ontime
12.0,US,LGA,214,2170,DCA,0,2,6,W,ontime
13.0,US,LGA,214,2172,DCA,0,2,6,W,ontime
14.0,US,LGA,214,2174,DCA,0,2,6,W,ontime
15.0,US,LGA,214,2176,DCA,0,2,6,W,ontime
16.0,US,LGA,214,2178,DCA,0,2,6,W,ontime
17.0,US,LGA,214,2180,DCA,0,2,6,W,ontime
18.0,US,LGA,214,2182,DCA,0,2,6,W,ontime
19.0,US,LGA,214,2184,DCA,0,2,6,W,ontime
20.0,US,LGA,214,2186,DCA,0,2,6,W,ontime
21.0,US,LGA,214,2188,DCA,0,2,6,W,ontime
14.55,RU,EWR,169,2403,BWI,0,2,6,7,ontime
17.2,RU,EWR,169,3372,BWI,0,2,6,2,delayed
7.0,RU,EWR,169,2703,BWI,0,2,6,8,ontime
10.3,RU,EWR,169,2303,BWI,0,2,6,4,ontime
17.3,CO,EWR,199,814,DCA,0,2,6,4,delayed
13.0,CO,EWR,199,808,DCA,0,2,6,7,ontime
19.0,CO,EWR,199,816,DCA,0,2,6,0,delayed
7.35,CO,EWR,199,806,DCA,0,2,6,8,ontime
8.4,DH,EWR,213,7299,IAD,0,2,6,E,ontime
17.1,DH,EWR,213,7302,IAD,0,2,6,R,ontime
12.45,DH,EWR,213,7303,IAD,0,2,6,R,ontime
21.2,DH,EWR,213,7304,IAD,0,2,6,R,ontime
14.3,DH,EWR,213,7307,IAD,0,2,6,E,ontime
6.3,DH,EWR,213,7371,IAD,0,2,6,E,ontime
21.0,RU,EWR,199,2879,DCA,0,2,6,3,delayed
9.0,RU,EWR,199,2582,DCA,0,2,6,7,ontime
19.0,RU,EWR,213,2385,IAD,0,2,6,7,delayed
15.0,RU,EWR,213,2156,IAD,0,2,6,7,ontime
7.0,RU,EWR,213,2855,IAD,0,2,6,5,ontime
15.25,RU,EWR,199,2261,DCA,0,2,6,8,delayed
13.0,RU,EWR,213,2367,IAD,0,2,6,1,ontime
13.59,RU,EWR,199,2216,DCA,0,2,6,4,ontime
17.0,RU,EWR,213,2497,IAD,0,2,6,6,ontime
16.3,RU,EWR,199,2181,DCA,0,2,6,9,ontime
6.45,RU,EWR,199,2761,DCA,0,2,6,8,ontime
14.55,OH,JFK,184,5935,BWI,0,3,7,A,ontime
16.4,DH,JFK,213,6155,DCA,0,3,7,J,ontime
12.45,DH,LGA,229,7208,IAD,0,3,7,R,ontime
14.55,DH,LGA,229,7211,IAD,0,3,7,R,ontime
17.15,DH,LGA,229,7215,IAD,0,3,7,R,delayed
6.4,DH,LGA,229,7790,IAD,0,3,7,R,ontime
10.4,DH,LGA,229,7792,IAD,0,3,7,E,ontime
8.4,DH,JFK,228,7800,IAD,0,3,7,R,ontime
12.4,DH,JFK,228,7806,IAD,0,3,7,E,ontime
14.55,DH,JFK,228,7808,IAD,0,3,7,E,ontime
16.45,DH,JFK,228,7810,IAD,0,3,7,E,ontime
17.15,DH,JFK,228,7812,IAD,0,3,7,E,delayed
21.2,DH,JFK,228,7814,IAD,0,3,7,R,ontime
16.1,DH,JFK,228,7816,IAD,0,3,7,E,ontime
14.55,DL,JFK,213,746,DCA,0,3,7,E,ontime
6.3,DL,LGA,214,1740,DCA,0,3,7,Z,ontime
8.3,DL,LGA,214,1744,DCA,0,3,7,L,ontime
9.3,DL,LGA,214,1746,DCA,0,3,7,L,ontime
10.3,DL,LGA,214,1748,DCA,0,3,7,Z,ontime
11.3,DL,LGA,214,1750,DCA,0,3,7,A,ontime
12.3,DL,LGA,214,1752,DCA,0,3,7,L,ontime
13.3,DL,LGA,214,1754,DCA,0,3,7,L,ontime
14.3,DL,LGA,214,1756,DCA,0,3,7,Z,ontime
15.3,DL,LGA,214,1758,DCA,0,3,7,A,ontime
16.3,DL,LGA,214,1760,DCA,0,3,7,L,ontime
17.3,DL,LGA,214,1762,DCA,0,3,7,L,ontime
18.3,DL,LGA,214,1764,DCA,0,3,7,Z,ontime
19.3,DL,LGA,214,1766,DCA,0,3,7,A,ontime
20.3,DL,LGA,214,1768,DCA,0,3,7,L,ontime
15.3,MQ,JFK,213,4752,DCA,0,3,7,Q,ontime
6.0,MQ,JFK,213,4760,DCA,0,3,7,Q,ontime
18.3,MQ,JFK,213,4784,DCA,0,3,7,Q,delayed
7.0,MQ,LGA,214,4952,DCA,0,3,7,Q,ontime
8.0,MQ,LGA,214,4954,DCA,0,3,7,Q,ontime
9.0,MQ,LGA,214,4956,DCA,0,3,7,Q,ontime
11.0,MQ,LGA,214,4960,DCA,0,3,7,Q,ontime
13.0,MQ,LGA,214,4964,DCA,0,3,7,Q,ontime
14.0,MQ,LGA,214,4966,DCA,0,3,7,Q,ontime
15.0,MQ,LGA,214,4968,DCA,0,3,7,Q,delayed
16.0,MQ,LGA,214,4970,DCA,0,3,7,Q,delayed
19.0,MQ,LGA,214,4976,DCA,0,3,7,Q,delayed
8.5,UA,LGA,229,846,IAD,0,3,7,A,ontime
6.3,US,LGA,214,1479,DCA,0,3,7,W,ontime
7.0,US,LGA,214,2160,DCA,0,3,7,W,ontime
